ead:10.00 | controller signal:1324.5angle read:0.00 | angle read:0.00 | controller signal:1196.50 | 
21:13:09.119 -> angle read:0.00 | controller signal:1196.50 | 
21:13:09.187 -> angle read:0.00 | controller signal:1196.50 | 
21:13:09.222 -> angle read:0.00 | controller signal:1196.50 | 
21:13:09.290 -> angle read:0.00 | controller signal:1213.00 | 
21:13:09.325 -> angle read:0.00 | controller signal:1213.00 | 
21:13:09.392 -> angle read:0.00 | controller signal:1213.00 | 
21:13:09.426 -> angle read:0.00 | controller signal:1229.50 | 
21:13:09.494 -> angle read:0.00 | controller signal:1229.50 | 
21:13:09.528 -> angle read:0.00 | controller signal:1229.50 | 
21:13:09.563 -> angle read:0.00 | controller signal:1246.00 | 
21:13:09.631 -> angle read:0.00 | controller signal:1246.00 | 
21:13:09.665 -> angle read:0.00 | controller signal:1246.00 | 
21:13:09.734 -> angle read:0.00 | controller signal:1262.50 | 
21:13:09.769 -> angle read:0.00 | controller signal:1262.50 | 
21:13:09.802 -> angle read:0.00 | controller signal:1262.50 | 
21:13:09.871 -> angle read:0.00 | controller signal:1279.00 | 
21:13:09.905 -> angle read:0.00 | controller signal:1279.00 | 
21:13:09.973 -> angle read:0.00 | controller signal:1279.00 | 
21:13:10.007 -> angle read:0.00 | controller signal:1295.50 | 
21:13:10.075 -> angle read:1.00 | controller signal:1295.50 | 
21:13:10.110 -> angle read:1.00 | controller signal:1295.50 | 
21:13:10.144 -> angle read:2.00 | controller signal:1285.80 | 
21:13:10.212 -> angle read:2.00 | controller signal:1285.80 | 
21:13:10.247 -> angle read:2.00 | controller signal:1285.80 | 
21:13:10.317 -> angle read:3.00 | controller signal:1287.00 | 
21:13:10.350 -> angle read:4.00 | controller signal:1287.00 | 
21:13:10.417 -> angle read:4.00 | controller signal:1287.00 | 
21:13:10.450 -> angle read:5.00 | controller signal:1274.00 | 
21:13:10.484 -> angle read:6.00 | controller signal:1274.00 | 
21:13:10.554 -> angle read:7.00 | controller signal:1274.00 | 
21:13:10.589 -> angle read:7.00 | controller signal:1258.80 | 
21:13:10.659 -> angle read:9.00 | controller signal:1258.80 | 
21:13:10.694 -> angle read:9.00 | controller signal:1258.80 | 
21:13:10.763 -> angle read:9.00 | controller signal:1241.40 | 
21:13:10.798 -> angle read:9.00 | controller signal:1241.40 | 
21:13:10.832 -> angle read:9.00 | controller signal:1241.40 | 
